Index Code,Phase,Module,Type,Title/Description,File Name,Storage Location,Source Category,Notes
P0.M6.TX01,0,6,TX,Structured synthesis of the global food system based on Modules 1–5,P0_M6_TX01_GlobalFoodSystemSynthesis.txt,/ssot/phase0/module6/outputs/,🟢 A,Structured synthesis of the global food system using harmonized data from all Phase 0 modules.
P0.M6.TX02,0,6,TX,Historical synthesis of the food system from 1960 to present,P0_M6_TX02_HistoricalEvolutionFoodSystem.txt,/ssot/phase0/module6/outputs/,🟢 A,"Historical timeline of the global food system (1960–present), including Green Revolution and liberalization."
P1.M1.DT01,1,1,DT,Globally harmonized nutrient intake targets across demographic groups,P1_M1_DT01_NutrientRequirements.csv,/ssot/phase1/module1/data/,🟢 A,"Includes energy, macronutrients, and micronutrient requirements across life stages. Data harmonized from FAO/WHO/UNU, EFSA, NIH, and GBD 2019 sources."
P1.M1.FG01,1,1,FG,Global Nutrient Coverage Map (placeholder),P1_M1_FG01_GlobalNutrientCoverageMap.svg,/ssot/phase1/module1/outputs/,🟢 A,Placeholder for future comparative visualization. To be updated in subsequent modules.
P1.M1.TX01,1,1,TX,Methodology and source alignment for global nutrient target harmonization,P1_M1_TX01_NutrientTargetsSummary.txt,/ssot/phase1/module1/outputs/,🟢 A,"Documents the harmonization process, demographic structure, unit standardization, and source hierarchy."
P1.M2.DT01,1,2,DT,Nutrient composition per 100g edible portion for top global commodities,P1_M2_DT01_NutrientComposition_TopCommodities.csv,/ssot/phase1/module2/data/,🟢 A,"Standardized nutrient profiles for sugarcane, maize, rice, wheat, and potatoes"
P1.M2.DT02,1,2,DT,"Global nutrient availability by food type, category, and region",P1_M2_DT02_NutrientAvailabilityByFood.csv,/ssot/phase1/module2/data/,🟢 A,Computed using Phase 0 volumes and USDA/INFOODS nutrient densities
P1.M2.FG01,1,2,FG,Global nutrient supply vs. population-weighted requirements,P1_M2_FG01_NutrientSupplyVsRequirement.svg,/ssot/phase1/module2/outputs/,🟢 A,Log-scale visual comparison of supply vs. Phase 1 Module 1 needs
P1.M2.TX01,1,2,TX,Methodology for estimating nutrient availability from global food production,P1_M2_TX01_Method_NutrientAvailability.txt,/ssot/phase1/module2/outputs/,🟢 A,"Covers integration pipeline, conversions, assumptions, and boundaries"
P1.M3.DT01,1,3,DT,Bioavailability adjustment factors by nutrient and food source,P1_M3_DT01_BioavailabilityAdjustmentFactors.csv,/ssot/phase1/module3/data/,🟢 A,"Based on midpoint estimates from WHO/FAO consultations, EFSA opinions, NIH ODS profiles, and major nutrient bioavailability reviews. Values reflect plant-based, animal-based, and mixed-diet average absorption fractions."
P1.M3.DT02,1,3,DT,Bioavailability-adjusted nutrient availability by food commodity,P1_M3_DT02_AdjustedNutrientAvailability.csv,/ssot/phase1/module3/data/,🟢 A,"Adjusted from P1.M2.DT02 using mixed-diet absorption coefficients from WHO/FAO, EFSA, and peer-reviewed sources. Represents the estimated absorbable nutrient quantities available globally."
P1.M3.FG01,1,3,FG,Gross vs. bioavailable nutrient supply (global total),P1_M3_FG01_AbsorbableVsSupplied.svg,/ssot/phase1/module3/outputs/,🟢 A,Compares gross nutrient supply (Module 2) to absorbable quantities based on bioavailability coefficients (Module 3). Uses log scale for visibility across orders of magnitude.
P1.M3.TX01,1,3,TX,Methodology for bioavailability adjustment of nutrient supply,P1_M3_TX01_BioavailabilityModelingMethod.txt,/ssot/phase1/module3/outputs/,🟢 A,"Documents sources, coefficients, and calculation process used to convert gross nutrient supply into absorbable equivalents. Based on mixed-diet estimates and authoritative institutional and scientific sources."
P1.M4.DT01,1,4,DT,Demographic adequacy ratios for bioavailable nutrient supply,P1_M4_DT01_NutrientAdequacyByGroup.csv,/ssot/phase1/module4/data/,🟢 A,Compares per capita bioavailable supply (from M3) to per capita nutrient requirements (from M1) across 16 demographic groups. Ratios below 1 indicate shortfall risks.
P1.M4.FG01,1,4,FG,Average global nutrient adequacy ratios by nutrient,P1_M4_FG01_DeficiencyRiskByNutrient.svg,/ssot/phase1/module4/outputs/,🟢 A,Bar chart showing the average adequacy ratio for each nutrient across all demographic groups. Red line indicates the threshold of 1.0 (100% adequacy). Values below this line signal global shortfall risks.
P1.M4.TX01,1,4,TX,Methodology for modeling demographic adequacy of nutrient intake,P1_M4_TX01_AdequacyModelingMethod.txt,/ssot/phase1/module4/outputs/,🟢 A,Details how daily per capita supply from Module 3 was compared to group-specific requirements from Module 1. Emphasizes assumptions and constraints related to uniformity and data aggregation.
P1.M5.DT01,1,5,DT,Matrix of synergistic and inhibitory nutrient interactions in plant-based diets,P1_M5_DT01_SynergyInhibitionMatrix.csv,/ssot/phase1/module5/data/,🟢 A,"Includes iron, zinc, calcium, magnesium, vitamin A and D interactions. Effect sizes synthesized from WHO/FAO reports, EFSA opinions, NIH summaries, and nutrient absorption literature."
P1.M5.FG01,1,5,FG,Nutrient interaction network of synergies and inhibitors in plant-based systems,P1_M5_FG01_NutrientInteractionMap.svg,/ssot/phase1/module5/outputs/,🟢 A,"Visual network of known nutrient synergies (green edges) and inhibitors (red edges) based on WHO/FAO, EFSA, and scientific literature."
P1.M5.TX01,1,5,TX,Methodology for identifying synergistic and inhibitory nutrient interactions,P1_M5_TX01_InteractionAdjustmentMethod.txt,/ssot/phase1/module5/outputs/,🟢 A,Summarizes sources and approach for mapping bioavailability-affecting nutrient interactions. Distinguishes between synergy and inhibition.
P1.M6.DT01,1,6,DT,Risk classification of micronutrient adequacy by demographic group,P1_M6_DT01_MicronutrientRiskByGroup.csv,/ssot/phase1/module6/data/,🟢 A,"Classifies adequacy risk by nutrient and demographic group using thresholds (<0.6: high risk, <0.9: moderate, <1.0: marginal, ≥1.0: adequate)."
P1.M6.FG01,1,6,FG,Heatmap of micronutrient risk levels across demographic groups,P1_M6_FG01_RiskHeatmapByNutrient.svg,/ssot/phase1/module6/outputs/,🟢 A,Visualizes the risk classification for each key micronutrient and demographic group using color-coded heat levels. Based on adequacy thresholds established in Module 6.
P1.M6.TX01,1,6,TX,Risk classification criteria for population-level micronutrient adequacy,P1_M6_TX01_RiskClassificationMethod.txt,/ssot/phase1/module6/outputs/,🟢 A,Defines adequacy risk thresholds by nutrient based on international guidelines. Explains classification logic and assumptions applied across age and sex groups.
P1.M7.DT01,1,7,DT,Boundary case scenarios testing nutritional limits of plant-based diets,P1_M7_DT01_BoundaryCaseScenarios.csv,/ssot/phase1/module7/data/,🟢 A,"Defines six dietary edge cases with demographic, dietary, and biochemical risk assumptions. Identifies expected limiting nutrients and projected failure risks based on Modules 4–6."
P1.M7.FG01,1,7,FG,Nutritional risk escalation by boundary case scenario,P1_M7_FG01_BoundaryCaseOutcomes.svg,/ssot/phase1/module7/outputs/,🟢 A,"Color-coded visualization of expected nutritional vulnerability for six plant-based boundary scenarios. Draws on adequacy, risk, and interaction modules to highlight structural limitations."
P1.M7.TX01,1,7,TX,Methodological framework for testing plant-based dietary boundary scenarios,P1_M7_TX01_BoundaryTestingMethod.txt,/ssot/phase1/module7/outputs/,🟢 A,Defines how edge-case diets and at-risk populations were selected and modeled. Clarifies limitations and modeling scope. Supports risk-focused synthesis in Phase 8.
P2.M1.DT01,2,1,DT,Crop allocation by nutrient density,P2_M1_DT01_CropAllocation.csv,/ssot/phase2/module1/data/,🟢 A,"Compiled nutrient-per-hectare data from FAO and peer-reviewed agronomic literature to prioritize land-efficient crops for protein, iron, and calcium delivery."
P2.M1.FG01,2,1,FG,Bar chart: Protein yield per hectare,P2_M1_FG01_ProteinYieldBarChart.png,/ssot/phase2/module1/outputs/,🟢 A,Visualizes protein yield per hectare for key crops based on synthesized agronomic productivity data. Supports crop selection modeling.
P2.M1.TX01,2,1,TX,Synthesis summary of crop allocation strategies,P2_M1_TX01_CropAllocationSummary.txt,/ssot/phase2/module1/outputs/,🟢 A,Analytical synthesis integrating nutrient density and land-use efficiency to inform crop prioritization for global plant-based food systems.
P2.M2.DT01,2,2,DT,Crop yield by climate zone,P2_M2_DT01_YieldByClimate.csv,/ssot/phase2/module2/data/,🟢 A,"Estimates of climate-specific crop yields modeled from FAO GAEZ zones, adjusted for regional productivity data. Used in spatial feasibility modeling."
P2.M2.TX01,2,2,TX,Summary of crop-climate yield feasibility,P2_M2_TX01_YieldFeasibilitySummary.txt,/ssot/phase2/module2/outputs/,🟢 A,Summarizes comparative yield potential across climate zones. Highlights geographic yield constraints and informs adaptive crop placement.
P2.M3.DT01,2,3,DT,"Water, GHG, and land trade-offs by crop",P2_M3_DT01_TradeOffMetrics.csv,/ssot/phase2/module3/data/,🟢 A,"Compiled water, GHG, and land-use intensity values per crop from Poore & Nemecek (2018) and FAO environmental datasets for trade-off modeling."
P2.M3.TX01,2,3,TX,Summary of crop-level environmental trade-offs,P2_M3_TX01_TradeOffSummary.txt,/ssot/phase2/module3/outputs/,🟢 A,Narrative synthesis on sustainability trade-offs across key crops. Frames the role of cereals and legumes in balancing ecological impacts.
P2.M4.DT01,2,4,DT,Regional cropland and yield potential,P2_M4_DT01_RegionalYieldPotential.csv,/ssot/phase2/module4/data/,🟢 A,Regional cropland area and average yield values sourced from FAOSTAT and agroecological studies. Supports equity and feasibility modeling.
P2.M4.TX01,2,4,TX,Summary of regional variation in plant-based yield potential,P2_M4_TX01_RegionalProductionSummary.txt,/ssot/phase2/module4/outputs/,🟢 A,Summarizes regional production disparities and their implications for closing global yield gaps under a plant-based scenario.
P2.M5.DT01,2,5,DT,Systemic risks and constraints,P2_M5_DT01_SystemRisks.csv,/ssot/phase2/module5/data/,🟢 A,"Catalog of systemic risks and agronomic stressors (climate, soil, pests) informed by IPCC and FAO resilience frameworks."
P2.M5.TX01,2,5,TX,Summary of system constraints and resilience limits,P2_M5_TX01_SystemRisksSummary.txt,/ssot/phase2/module5/outputs/,🟢 A,Narrative synthesis of system failure points and adaptive strategies required to maintain productivity in plant-based food systems.
P3.M1.TX01,3,1,TX,Comparative environmental impacts of plant-based vs conventional diets,P3_M1_TX01_ComparativeImpact.txt,/ssot/phase3/module1/outputs/,🟢 A,"Sources include Poore & Nemecek (2018), Clark et al. (2019), IPCC reports"
P3.M2.FG01,3,2,FG,Carbon and biodiversity benefits of land rewilding,P3_M2_FG01_LandRewilding.png,/ssot/phase3/module2/outputs/,🟢 A,Visual summary based on land-use projections and rewilding scenarios
P3.M2.TX01,3,2,TX,Land sparing and carbon sequestration potential,P3_M2_TX01_LandSparing.txt,/ssot/phase3/module2/outputs/,🟢 A,"Sources include IAM models, Hayek et al. (2021)"
P3.M3.TX01,3,3,TX,Risks and trade-offs of scaling plant-based food systems,P3_M3_TX01_Tradeoffs.txt,/ssot/phase3/module3/outputs/,🟡 B,Includes synthesis of risks from Springmann et al. and Searchinger et al.
